ExperienceId,UserId,StartDate,EndDate,Company,Visible,Title
48,5,9/3/2018,10/2/2017,Geba,0,Software Engineer
49,1,12/27/2017,8/13/2018,Zoozzy,0,Software Engineer
50,5,11/16/2017,11/7/2017,Oozz,0,Software Engineer
51,2,11/14/2017,6/2/2018,Viva,0,Software Engineer
52,6,8/30/2018,7/19/2018,Miboo,0,Software Engineer
53,6,5/18/2018,1/9/2018,Kimia,0,Software Engineer
54,9,1/20/2018,7/27/2018,Jetpulse,0,Software Engineer
55,5,7/20/2018,5/14/2018,Agimba,0,Software Engineer
56,5,5/5/2018,4/24/2018,LiveZ,0,Software Engineer
57,8,1/24/2018,6/15/2018,Twitterlist,0,Software Engineer
58,5,12/31/2017,9/1/2018,Gigaclub,0,Software Engineer
59,7,8/18/2018,7/21/2018,Eabox,0,Software Engineer
60,4,7/26/2018,9/21/2018,Photobug,0,Software Engineer
61,6,8/25/2018,11/14/2017,Jaxbean,0,Software Engineer
62,6,6/1/2018,5/17/2018,Ntag,0,Software Engineer
63,9,3/30/2018,9/4/2018,Kazio,0,Software Engineer
64,9,10/14/2017,4/7/2018,Browsecat,0,Software Engineer
65,5,4/4/2018,2/25/2018,Snaptags,0,Software Engineer
66,3,9/30/2017,1/25/2018,Cogidoo,0,Software Engineer
67,4,10/3/2017,11/3/2017,Twitterlist,0,Software Engineer
68,4,12/16/2017,4/8/2018,Quaxo,0,Software Engineer
69,9,12/23/2017,12/16/2017,Voolith,0,Software Engineer
70,6,2/14/2018,8/28/2018,Yoveo,0,Software Engineer
71,4,9/10/2018,10/7/2017,Voolith,0,Software Engineer
72,2,8/10/2018,8/31/2018,Eamia,0,Software Engineer
73,4,5/30/2018,9/4/2018,Oyoyo,0,Software Engineer
74,4,9/14/2018,1/10/2018,Yakidoo,0,Software Engineer
75,8,2/25/2018,1/2/2018,Innojam,0,Software Engineer
76,1,5/21/2018,10/9/2017,Gabspot,0,Software Engineer
77,1,12/26/2017,6/15/2018,Twiyo,0,Software Engineer
78,4,5/30/2018,10/9/2017,Trupe,0,Software Engineer
79,1,8/10/2018,4/28/2018,Quinu,0,Software Engineer
80,7,10/4/2017,10/29/2017,Browseblab,0,Software Engineer
81,5,9/8/2018,7/31/2018,Pixoboo,0,Software Engineer
82,5,9/1/2018,11/26/2017,Meembee,0,Software Engineer
83,3,5/15/2018,2/12/2018,Dynabox,0,Software Engineer
84,1,7/3/2018,5/24/2018,Jatri,0,Software Engineer
85,9,10/17/2017,5/13/2018,Katz,0,Software Engineer
86,3,2/24/2018,1/18/2018,Flashpoint,0,Software Engineer
87,8,1/4/2018,1/15/2018,Eayo,0,Software Engineer
88,6,9/13/2018,7/5/2018,Dabjam,0,Software Engineer
89,8,5/16/2018,10/31/2017,Photobug,0,Software Engineer
90,5,11/27/2017,5/14/2018,Realcube,0,Software Engineer
91,5,6/7/2018,7/28/2018,Oyoloo,0,Software Engineer
92,8,10/29/2017,4/28/2018,Wordpedia,0,Software Engineer
93,3,2/26/2018,4/1/2018,Oyope,0,Software Engineer
94,7,7/28/2018,2/27/2018,Twitterlist,0,Software Engineer
95,1,8/20/2018,9/17/2018,Buzzshare,0,Software Engineer
96,7,3/7/2018,11/22/2017,Oyope,0,Software Engineer
97,1,3/20/2018,2/17/2018,Meezzy,0,Software Engineer
98,1,12/25/2017,8/8/2018,Fadeo,0,Software Engineer
99,1,6/9/2018,12/13/2017,Twitterworks,0,Software Engineer
100,9,3/29/2018,9/1/2018,Shuffledrive,0,Software Engineer
